pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-08-14	Your Firmware Has Arrived: A Study of Firmware Update Vulnerabilities	Usenix Security 24	Embedded devices are increasingly ubiquitous in our society. Firmware updates are one of the primary mechanisms to mitigate vulnerabilities in embedded systems. However, the firmware update procedure also introduces new attack surfaces, particularly through vulnerable firmware verification procedures. Unlike memory corruption bugs, numerous vulnerabilities in firmware updates stem from incomplete or incorrect verification steps, to which existing firmware analysis methods are not applicable. To bridge this gap, we propose ChkUp, an approach to Check for firmware Update vulnerabilities. ChkUp can resolve the program execution paths during firmware updates using cross-language inter-process control flow analysis and program slicing. With these paths, ChkUp locates firmware verification procedures, examining and validating their vulnerabilities. We implemented ChkUp and conducted a comprehensive analysis on 12,000 firmware images. Then, we validated the alerts in 150 firmware images from 33 device families, leading to the discovery of both zero-day and n-day vulnerabilities. Our findings were disclosed responsibly, resulting in the assignment of 25 CVE IDs and one PSV ID at the time of writing.	Yuhao Wu, Jinwen Wang, Yujie Wang, Shixuan Zhai, <b>Zihan Li</b>, Yi He, Kun Sun, Qi Li, Ning Zhang. (2024). "Your Firmware Has Arrived: A Study of Firmware Update Vulnerabilities." <i>USENIX Security 24</i>.	Your Firmware Has Arrived: A Study of Firmware Update Vulnerabilities	https://www.usenix.org/system/files/sec23winter-prepub-484-wu-yuhao.pdf
2022-12-05	Work-in-Progress: Measuring Security Protection in Real-time Embedded Firmware	2022 IEEE Real-Time Systems Symposium (RTSS)	The proliferation of real-time cyber-physical systems (CPS) is making profound changes to our daily life. Many real-time CPSs are security and safety-critical because of their continuous interactions with the physical world. While the general perception is that the security protection mechanism deployment is often absent in real-time embedded systems, there is no existing empirical study that measures the adoption of these mechanisms in the ecosystem. To bridge this gap, we conduct a measurement study for real-time embedded firmware from both a security perspective and a real-time perspective. To begin with, we collected more than 16 terabytes of embedded firmware and sampled 1,000 of them for the study. Then, we analyzed the adoption of security protection mechanisms and their potential impacts on the timeliness of real-time embedded systems. Besides, we measured the scheduling algorithms supported by real-time embedded systems since they are also security-critical.	Yuhao Wu, Yujie Wang, Shixuan Zhai, <b>Zihan Li</b>, Ao Li, Jinwen Wang, Ning Zhang, "Work-in-Progress: Measuring Security Protection in Real-time Embedded Firmware." <i>2022 IEEE Real-Time Systems Symposium (RTSS)</i>, Houston, TX, USA, 2022, pp. 495-498, doi: 10.1109/RTSS55097.2022.00050.	Work-in-Progress: Measuring Security Protection in Real-time Embedded Firmware	https://ieeexplore.ieee.org/abstract/document/9984724
